WOJEWODZTWO,MARKA,LICZBA
DOLNOŚLĄSKIE,ALFA ROMEO,24
DOLNOŚLĄSKIE,AUDI,482
DOLNOŚLĄSKIE,BENTLEY,1
DOLNOŚLĄSKIE,BMW,404
DOLNOŚLĄSKIE,BMW I,1
DOLNOŚLĄSKIE,CADILLAC,2
DOLNOŚLĄSKIE,CHEVROLET,27
DOLNOŚLĄSKIE,CHRYSLER,9
DOLNOŚLĄSKIE,CITROEN,177
DOLNOŚLĄSKIE,CUPRA,36
DOLNOŚLĄSKIE,DACIA,138
DOLNOŚLĄSKIE,DAEWOO,2
DOLNOŚLĄSKIE,DAIHATSU,7
DOLNOŚLĄSKIE,DAIMLERCHRYSLER,24
DOLNOŚLĄSKIE,DODGE,17
DOLNOŚLĄSKIE,DS,7
DOLNOŚLĄSKIE,FIAT,101
DOLNOŚLĄSKIE,FORD,561
DOLNOŚLĄSKIE,GMC,1
DOLNOŚLĄSKIE,HONDA,88
DOLNOŚLĄSKIE,HYUNDAI,240
DOLNOŚLĄSKIE,INFINITI,1
DOLNOŚLĄSKIE,JAGUAR,19
DOLNOŚLĄSKIE,JEEP,28
DOLNOŚLĄSKIE,KIA,252
DOLNOŚLĄSKIE,LADA,2
DOLNOŚLĄSKIE,LANCIA,2
DOLNOŚLĄSKIE,LAND ROVER,20
DOLNOŚLĄSKIE,LEXUS,85
DOLNOŚLĄSKIE,LINCOLN,2
DOLNOŚLĄSKIE,MASERATI,1
DOLNOŚLĄSKIE,MAZDA,147
DOLNOŚLĄSKIE,MCC SMART,1
DOLNOŚLĄSKIE,MERCEDES-AMG,2
DOLNOŚLĄSKIE,MERCEDES-BENZ,293
DOLNOŚLĄSKIE,MINI,41
DOLNOŚLĄSKIE,MITSUBISHI,57
DOLNOŚLĄSKIE,NISSAN,136
DOLNOŚLĄSKIE,OPEL,379
DOLNOŚLĄSKIE,PEUGEOT,203
DOLNOŚLĄSKIE,PORSCHE,40
DOLNOŚLĄSKIE,RENAULT,246
DOLNOŚLĄSKIE,RENAULT/CARPOL,10
DOLNOŚLĄSKIE,SAAB,5
DOLNOŚLĄSKIE,SEAT,145
DOLNOŚLĄSKIE,SKODA,363
DOLNOŚLĄSKIE,SMART,11
DOLNOŚLĄSKIE,SSANGYONG,10
DOLNOŚLĄSKIE,SUBARU,32
DOLNOŚLĄSKIE,SUZUKI,102
DOLNOŚLĄSKIE,TESLA,4
DOLNOŚLĄSKIE,TOYOTA,1033
DOLNOŚLĄSKIE,VOLKSWAGEN,635
DOLNOŚLĄSKIE,VOLVO,159
KUJAWSKO-POMORSKIE,ALFA ROMEO,19
KUJAWSKO-POMORSKIE,AUDI,300
KUJAWSKO-POMORSKIE,BENTLEY,1
KUJAWSKO-POMORSKIE,BMW,217
KUJAWSKO-POMORSKIE,BMW I,1
KUJAWSKO-POMORSKIE,BUICK,1
KUJAWSKO-POMORSKIE,CADILLAC,3
KUJAWSKO-POMORSKIE,CHEVROLET,22
KUJAWSKO-POMORSKIE,CITROEN,136
KUJAWSKO-POMORSKIE,CUPRA,19
KUJAWSKO-POMORSKIE,DACIA,72
KUJAWSKO-POMORSKIE,DAEWOO,1
KUJAWSKO-POMORSKIE,DAIHATSU,3
KUJAWSKO-POMORSKIE,DAIMLERCHRYSLER,4
KUJAWSKO-POMORSKIE,DFSK,1
KUJAWSKO-POMORSKIE,DODGE,12
KUJAWSKO-POMORSKIE,FIAT,77
KUJAWSKO-POMORSKIE,FORD,291
KUJAWSKO-POMORSKIE,FSO,1
KUJAWSKO-POMORSKIE,GAZ,1
KUJAWSKO-POMORSKIE,HONDA,46
KUJAWSKO-POMORSKIE,HYUNDAI,124
KUJAWSKO-POMORSKIE,JAGUAR,7
KUJAWSKO-POMORSKIE,JAGUAR LAND ROVER LIMITED,1
KUJAWSKO-POMORSKIE,JEEP,26
KUJAWSKO-POMORSKIE,KIA,157
KUJAWSKO-POMORSKIE,LADA,1
KUJAWSKO-POMORSKIE,LANCIA,2
KUJAWSKO-POMORSKIE,LAND ROVER,7
KUJAWSKO-POMORSKIE,LEXUS,33
KUJAWSKO-POMORSKIE,LINCOLN,1
KUJAWSKO-POMORSKIE,MAZDA,86
KUJAWSKO-POMORSKIE,MERCEDES-BENZ,173
KUJAWSKO-POMORSKIE,MINI,19
KUJAWSKO-POMORSKIE,MITSUBISHI,32
KUJAWSKO-POMORSKIE,NISSAN,93
KUJAWSKO-POMORSKIE,OPEL,379
KUJAWSKO-POMORSKIE,PEUGEOT,160
KUJAWSKO-POMORSKIE,PORSCHE,5
KUJAWSKO-POMORSKIE,RENAULT,160
KUJAWSKO-POMORSKIE,RENAULT/CARPOL,10
KUJAWSKO-POMORSKIE,ROVER,1
KUJAWSKO-POMORSKIE,SAAB,2
KUJAWSKO-POMORSKIE,SEAT,64
KUJAWSKO-POMORSKIE,SKODA,218
KUJAWSKO-POMORSKIE,SMART,2
KUJAWSKO-POMORSKIE,SSANGYONG,5
KUJAWSKO-POMORSKIE,SUBARU,4
KUJAWSKO-POMORSKIE,SUZUKI,39
KUJAWSKO-POMORSKIE,TESLA,2
KUJAWSKO-POMORSKIE,TOYOTA,318
KUJAWSKO-POMORSKIE,TOYOTA/CARPOL,1
KUJAWSKO-POMORSKIE,VAUXHALL,1
KUJAWSKO-POMORSKIE,VOLKSWAGEN,431
KUJAWSKO-POMORSKIE,VOLVO,95
LUBELSKIE,ACURA,1
LUBELSKIE,ALFA ROMEO,24
LUBELSKIE,ASTON MARTIN,1
LUBELSKIE,AUDI,368
LUBELSKIE,BMW,220
LUBELSKIE,BMW I,1
LUBELSKIE,BUICK,2
LUBELSKIE,CADILLAC,1
LUBELSKIE,CHEVROLET,34
LUBELSKIE,CHRYSLER,9
LUBELSKIE,CITROEN,166
LUBELSKIE,CUPRA,2
LUBELSKIE,DACIA,69
LUBELSKIE,DAEWOO,1
LUBELSKIE,DAIHATSU,6
LUBELSKIE,DAIMLERCHRYSLER,10
LUBELSKIE,DODGE,13
LUBELSKIE,FERRARI,1
LUBELSKIE,FIAT,81
LUBELSKIE,FORD,330
LUBELSKIE,GMC,2
LUBELSKIE,HONDA,64
LUBELSKIE,HYUNDAI,184
LUBELSKIE,INFINITI,2
LUBELSKIE,JAGUAR,5
LUBELSKIE,JEEP,33
LUBELSKIE,KIA,183
LUBELSKIE,LAMBORGHINI,1
LUBELSKIE,LANCIA,3
LUBELSKIE,LAND ROVER,11
LUBELSKIE,LEXUS,41
LUBELSKIE,LINCOLN,1
LUBELSKIE,MASERATI,4
LUBELSKIE,MAZDA,51
LUBELSKIE,MERCEDES-BENZ,137
LUBELSKIE,MINI,18
LUBELSKIE,MITSUBISHI,33
LUBELSKIE,NISSAN,85
LUBELSKIE,OPEL,289
LUBELSKIE,PEUGEOT,189
LUBELSKIE,PORSCHE,5
LUBELSKIE,RAM,1
LUBELSKIE,RENAULT,190
LUBELSKIE,RENAULT/CARPOL,3
LUBELSKIE,ROVER,1
LUBELSKIE,SAAB,9
LUBELSKIE,SEAT,87
LUBELSKIE,SKODA,144
LUBELSKIE,SMART,4
LUBELSKIE,SSANGYONG,2
LUBELSKIE,SUBARU,24
LUBELSKIE,SUZUKI,88
LUBELSKIE,TESLA,2
LUBELSKIE,TOYOTA,275
LUBELSKIE,VOLKSWAGEN,264
LUBELSKIE,VOLVO,245
LUBUSKIE,ALFA ROMEO,8
LUBUSKIE,AUDI,178
LUBUSKIE,BMW,124
LUBUSKIE,BUICK,1
LUBUSKIE,CADILLAC,4
LUBUSKIE,CHEVROLET,9
LUBUSKIE,CHRYSLER,3
LUBUSKIE,CITROEN,73
LUBUSKIE,CUPRA,12
LUBUSKIE,DACIA,57
LUBUSKIE,DAEWOO,1
LUBUSKIE,DAIHATSU,3
LUBUSKIE,DAIMLER-BENZ,1
LUBUSKIE,DAIMLERCHRYSLER,7
LUBUSKIE,DODGE,2
LUBUSKIE,DS,2
LUBUSKIE,FERRARI,2
LUBUSKIE,FIAT,66
LUBUSKIE,FORD,220
LUBUSKIE,HONDA,38
LUBUSKIE,HYUNDAI,113
LUBUSKIE,JAGUAR,2
LUBUSKIE,JEEP,11
LUBUSKIE,KIA,97
LUBUSKIE,LADA,1
LUBUSKIE,LANCIA,1
LUBUSKIE,LAND ROVER,5
LUBUSKIE,LEXUS,11
LUBUSKIE,MAZDA,67
LUBUSKIE,MERCEDES/AUTOMET,1
LUBUSKIE,MERCEDES-BENZ,110
LUBUSKIE,MINI,11
LUBUSKIE,MITSUBISHI,26
LUBUSKIE,NISSAN,52
LUBUSKIE,OPEL,214
LUBUSKIE,PEUGEOT,86
LUBUSKIE,PORSCHE,7
LUBUSKIE,RENAULT,86
LUBUSKIE,RENAULT/CARPOL,1
LUBUSKIE,SAAB,2
LUBUSKIE,SEAT,55
LUBUSKIE,SKODA,115
LUBUSKIE,SMART,4
LUBUSKIE,SSANGYONG,6
LUBUSKIE,SUBARU,5
LUBUSKIE,SUZUKI,30
LUBUSKIE,TESLA,1
LUBUSKIE,TOYOTA,189
LUBUSKIE,VOLKSWAGEN,328
LUBUSKIE,VOLKSWAGEN/V-VAN,1
LUBUSKIE,VOLVO,48
ŁÓDZKIE,ALFA ROMEO,22
ŁÓDZKIE,AUDI,250
ŁÓDZKIE,BMW,229
ŁÓDZKIE,CADILLAC,1
ŁÓDZKIE,CHEVROLET,45
ŁÓDZKIE,CHRYSLER,9
ŁÓDZKIE,CITROEN,197
ŁÓDZKIE,CUPRA,13
ŁÓDZKIE,DACIA,107
ŁÓDZKIE,DAEWOO,1
ŁÓDZKIE,DAIHATSU,3
ŁÓDZKIE,DAIMLER-BENZ,1
ŁÓDZKIE,DAIMLERCHRYSLER,3
ŁÓDZKIE,DODGE,18
ŁÓDZKIE,DS,7
ŁÓDZKIE,FIAT,104
ŁÓDZKIE,FORD,346
ŁÓDZKIE,HONDA,68
ŁÓDZKIE,HYUNDAI,244
ŁÓDZKIE,INFINITI,4
ŁÓDZKIE,JAGUAR,6
ŁÓDZKIE,JAGUAR LAND ROVER LIMITED,1
ŁÓDZKIE,JEEP,31
ŁÓDZKIE,KIA,277
ŁÓDZKIE,LANCIA,4
ŁÓDZKIE,LAND ROVER,7
ŁÓDZKIE,LEXUS,30
ŁÓDZKIE,MASERATI,2
ŁÓDZKIE,MAZDA,128
ŁÓDZKIE,MERCEDES,1
ŁÓDZKIE,MERCEDES-BENZ,142
ŁÓDZKIE,MG,3
ŁÓDZKIE,MINI,23
ŁÓDZKIE,MITSUBISHI,42
ŁÓDZKIE,NISSAN,104
ŁÓDZKIE,NYSA,1
ŁÓDZKIE,OPEL,408
ŁÓDZKIE,PEUGEOT,185
ŁÓDZKIE,PONTIAC,1
ŁÓDZKIE,PORSCHE,33
ŁÓDZKIE,RAM,2
ŁÓDZKIE,RENAULT,220
ŁÓDZKIE,RENAULT/CARPOL,3
ŁÓDZKIE,SAAB,12
ŁÓDZKIE,SEAT,103
ŁÓDZKIE,SKODA,282
ŁÓDZKIE,SMART,4
ŁÓDZKIE,SSANGYONG,8
ŁÓDZKIE,SUBARU,22
ŁÓDZKIE,SUZUKI,58
ŁÓDZKIE,TESLA,2
ŁÓDZKIE,TOYOTA,379
ŁÓDZKIE,VAUXHALL,1
ŁÓDZKIE,VOLKSWAGEN,357
ŁÓDZKIE,VOLVO,133
MAŁOPOLSKIE,ACURA,1
MAŁOPOLSKIE,ALFA ROMEO,55
MAŁOPOLSKIE,ASTON MARTIN,2
MAŁOPOLSKIE,AUDI,546
MAŁOPOLSKIE,BMW,415
MAŁOPOLSKIE,BUICK,2
MAŁOPOLSKIE,CADILLAC,3
MAŁOPOLSKIE,CHEVROLET,46
MAŁOPOLSKIE,CHRYSLER,12
MAŁOPOLSKIE,CITROEN,206
MAŁOPOLSKIE,CUPRA,39
MAŁOPOLSKIE,DACIA,195
MAŁOPOLSKIE,DAEWOO,2
MAŁOPOLSKIE,DAIHATSU,6
MAŁOPOLSKIE,DAIMLERCHRYSLER,3
MAŁOPOLSKIE,DFSK,1
MAŁOPOLSKIE,DODGE,20
MAŁOPOLSKIE,DS,7
MAŁOPOLSKIE,FIAT,264
MAŁOPOLSKIE,FORD,624
MAŁOPOLSKIE,FORD-CNG-TECHNIK,1
MAŁOPOLSKIE,GAZ,1
MAŁOPOLSKIE,HONDA,97
MAŁOPOLSKIE,HUMMER,1
MAŁOPOLSKIE,HYUNDAI,318
MAŁOPOLSKIE,INFINITI,3
MAŁOPOLSKIE,INNOCENTI,1
MAŁOPOLSKIE,IVECO,1
MAŁOPOLSKIE,JAGUAR,9
MAŁOPOLSKIE,JAGUAR LAND ROVER LIMITED,1
MAŁOPOLSKIE,JEEP,57
MAŁOPOLSKIE,KIA,352
MAŁOPOLSKIE,LANCIA,18
MAŁOPOLSKIE,LAND ROVER,20
MAŁOPOLSKIE,LEXUS,112
MAŁOPOLSKIE,LINCOLN,2
MAŁOPOLSKIE,MASERATI,4
MAŁOPOLSKIE,MAZDA,121
MAŁOPOLSKIE,MERCEDES,1
MAŁOPOLSKIE,MERCEDES-AMG,4
MAŁOPOLSKIE,MERCEDES-BENZ,254
MAŁOPOLSKIE,MG,1
MAŁOPOLSKIE,MINI,55
MAŁOPOLSKIE,MITSUBISHI,43
MAŁOPOLSKIE,NISSAN,163
MAŁOPOLSKIE,OPEL,424
MAŁOPOLSKIE,PEUGEOT,256
MAŁOPOLSKIE,PORSCHE,47
MAŁOPOLSKIE,PUCH,1
MAŁOPOLSKIE,RENAULT,317
MAŁOPOLSKIE,RENAULT/CARPOL,29
MAŁOPOLSKIE,SAAB,6
MAŁOPOLSKIE,SEAT,219
MAŁOPOLSKIE,SKODA,408
MAŁOPOLSKIE,SMART,32
MAŁOPOLSKIE,SSANGYONG,13
MAŁOPOLSKIE,SUBARU,40
MAŁOPOLSKIE,SUZUKI,238
MAŁOPOLSKIE,TATA,1
MAŁOPOLSKIE,TESLA,3
MAŁOPOLSKIE,TOYOTA,762
MAŁOPOLSKIE,TRABANT,1
MAŁOPOLSKIE,VOLKSWAGEN,508
MAŁOPOLSKIE,VOLVO,134
MAŁOPOLSKIE,ZASTAVA,1
MAZOWIECKIE,ALFA ROMEO,61
MAZOWIECKIE,ALPINA,2
MAZOWIECKIE,ALPINE,1
MAZOWIECKIE,ASTON MARTIN,3
MAZOWIECKIE,AUDI,1242
MAZOWIECKIE,BENTLEY,4
MAZOWIECKIE,BERTONE,1
MAZOWIECKIE,BMW,959
MAZOWIECKIE,BUICK,2
MAZOWIECKIE,CADILLAC,2
MAZOWIECKIE,CHEVROLET,92
MAZOWIECKIE,CHRYSLER,42
MAZOWIECKIE,CITROEN,502
MAZOWIECKIE,CUPRA,82
MAZOWIECKIE,DACIA,645
MAZOWIECKIE,DAEWOO,4
MAZOWIECKIE,DAIHATSU,6
MAZOWIECKIE,DAIMLER,1
MAZOWIECKIE,DAIMLERCHRYSLER,15
MAZOWIECKIE,DFSK,1
MAZOWIECKIE,DODGE,42
MAZOWIECKIE,DS,42
MAZOWIECKIE,FERRARI,3
MAZOWIECKIE,FIAT,188
MAZOWIECKIE,FORD,800
MAZOWIECKIE,FORD-CNG-TECHNIK,2
MAZOWIECKIE,GMC,1
MAZOWIECKIE,HONDA,241
MAZOWIECKIE,HONGQI,1
MAZOWIECKIE,HYUNDAI,696
MAZOWIECKIE,INFINITI,7
MAZOWIECKIE,JAGUAR,41
MAZOWIECKIE,JEEP,83
MAZOWIECKIE,KIA,898
MAZOWIECKIE,LAMBORGHINI,2
MAZOWIECKIE,LANCIA,10
MAZOWIECKIE,LAND ROVER,74
MAZOWIECKIE,LEXUS,323
MAZOWIECKIE,LINCOLN,1
MAZOWIECKIE,LOTUS,1
MAZOWIECKIE,ŁUAZ,1
MAZOWIECKIE,MAN/V-VAN,4
MAZOWIECKIE,MASERATI,9
MAZOWIECKIE,MAXUS,1
MAZOWIECKIE,MAZDA,299
MAZOWIECKIE,MERCEDES-AMG,9
MAZOWIECKIE,MERCEDES-BENZ,664
MAZOWIECKIE,MERCUS,3
MAZOWIECKIE,MG,2
MAZOWIECKIE,MINI,109
MAZOWIECKIE,MITSUBISHI,87
MAZOWIECKIE,NISSAN,313
MAZOWIECKIE,OPEL,901
MAZOWIECKIE,PEUGEOT,620
MAZOWIECKIE,PONTIAC,1
MAZOWIECKIE,PORSCHE,118
MAZOWIECKIE,RAM,2
MAZOWIECKIE,RENAULT,782
MAZOWIECKIE,RENAULT/CARPOL,87
MAZOWIECKIE,ROLLS-ROYCE,2
MAZOWIECKIE,ROVER,1
MAZOWIECKIE,SAAB,21
MAZOWIECKIE,SEAT,307
MAZOWIECKIE,SKODA,1475
MAZOWIECKIE,SKYWELL,15
MAZOWIECKIE,SMART,14
MAZOWIECKIE,SSANGYONG,30
MAZOWIECKIE,SUBARU,42
MAZOWIECKIE,SUZUKI,216
MAZOWIECKIE,TESLA,44
MAZOWIECKIE,TOYOTA,3406
MAZOWIECKIE,TRIUMPH,1
MAZOWIECKIE,TROJAN,1
MAZOWIECKIE,VOLKSWAGEN,1210
MAZOWIECKIE,"VOLKSWAGEN, VW",1
MAZOWIECKIE,VOLVO,667
OPOLSKIE,ALFA ROMEO,12
OPOLSKIE,AUDI,131
OPOLSKIE,BMW,86
OPOLSKIE,CHEVROLET,13
OPOLSKIE,CHRYSLER,2
OPOLSKIE,CITROEN,46
OPOLSKIE,CUPRA,7
OPOLSKIE,DACIA,37
OPOLSKIE,DAEWOO,1
OPOLSKIE,DAIHATSU,1
OPOLSKIE,DAIMLERCHRYSLER,4
OPOLSKIE,DFSK,1
OPOLSKIE,DODGE,4
OPOLSKIE,DS,1
OPOLSKIE,FIAT,26
OPOLSKIE,FORD,163
OPOLSKIE,HONDA,15
OPOLSKIE,HYUNDAI,58
OPOLSKIE,JEEP,4
OPOLSKIE,KIA,76
OPOLSKIE,LANCIA,1
OPOLSKIE,LAND ROVER,3
OPOLSKIE,LEXUS,13
OPOLSKIE,MASERATI,1
OPOLSKIE,MAZDA,44
OPOLSKIE,MERCEDES-AMG,1
OPOLSKIE,MERCEDES-BENZ,61
OPOLSKIE,MG,1
OPOLSKIE,MINI,9
OPOLSKIE,MITSUBISHI,28
OPOLSKIE,NISSAN,29
OPOLSKIE,OPEL,118
OPOLSKIE,PEUGEOT,53
OPOLSKIE,PONTIAC,1
OPOLSKIE,PORSCHE,11
OPOLSKIE,RENAULT,47
OPOLSKIE,RENAULT/CARPOL,10
OPOLSKIE,SEAT,62
OPOLSKIE,SKODA,113
OPOLSKIE,SMART,2
OPOLSKIE,SSANGYONG,1
OPOLSKIE,SUBARU,2
OPOLSKIE,SUZUKI,26
OPOLSKIE,TESLA,2
OPOLSKIE,TOYOTA,135
OPOLSKIE,TOYOYA,1
OPOLSKIE,VOLKSWAGEN,241
OPOLSKIE,VOLVO,24
PODKARPACKIE,ALFA ROMEO,42
PODKARPACKIE,AUDI,332
PODKARPACKIE,BMW,205
PODKARPACKIE,BUICK,1
PODKARPACKIE,CADILLAC,1
PODKARPACKIE,CHEVROLET,43
PODKARPACKIE,CHRYSLER,3
PODKARPACKIE,CITROEN,164
PODKARPACKIE,CUPRA,8
PODKARPACKIE,DACIA,46
PODKARPACKIE,DAEWOO,4
PODKARPACKIE,DAIHATSU,9
PODKARPACKIE,DAIMLERCHRYSLER,1
